ID,R1_association,R1_edge_weight,R1_concreteness,R2_association,R2_edge_weight,R2_concreteness,R3_association,R3_edge_weight,R3_concreteness,R4_association,R4_edge_weight,R4_concreteness,cue,cue_weight,associations,num_distractors,num_associations,associations_mean_weight,distractors,labels,candidates,candidates_connectivity_score,candidates_connectivity_data,alternative_associations_candidates,cue_associations_str,cue_associations_lst,candidates_connectivity_score_weight,origin_candidates_number,solvers_mean_jaccard
1111,sand,77,5.0,sun,21.0,4.83,ocean,19.0,4.86,water,17.0,5.0,beaches,117,"[""sand"", ""sun"", ""ocean"", ""water""]",2,4,33.5,"[""cooking"", ""vitamin""]","[0, 3, 4, 5]","[""sand"", ""cooking"", ""vitamin"", ""sun"", ""ocean"", ""water""]",6,"[{'alternative_cue': 'islands', 'alternative_cue_novel_associations': ['sand', 'ocean', 'water'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'island', 'alternative_cue_novel_associations': ['sand', 'ocean', 'water'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'seaside', 'alternative_cue_novel_associations': ['sand', 'ocean', 'water'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'shore', 'alternative_cue_novel_associations': ['sand', 'ocean', 'water'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'deep', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'yacht', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'whale', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'seahorse', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dolphin', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'depth', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'starfish', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'coast', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sail', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'seashore', 'alternative_cue_novel_associations': ['sand', 'ocean'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'surfer', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'mineral', 'alternative_cue_novel_associations': ['vitamin', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'porpoise', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sailboat', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'mermaid', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'marine', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'wave', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'submarine', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'aqua', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'scuba', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'waves', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'snorkel', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pail', 'alternative_cue_novel_associations': ['sand', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'shells', 'alternative_cue_novel_associations': ['sand', 'ocean'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'spray', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tide', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'surfing', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'seashell', 'alternative_cue_novel_associations': ['sand', 'ocean'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'surf', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sailing', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'surfboard', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'ships', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'horizon', 'alternative_cue_novel_associations': ['sun', 'ocean'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'reef', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'ship', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'swim', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'nautical', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'camel', 'alternative_cue_novel_associations': ['sand', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cove', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sea', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'diver', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pacific', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bay', 'alternative_cue_novel_associations': ['ocean', 'water'], 'num_alternative_cue_novel_associations': 2}]","[['vitamin', 'water'], ['sun', 'ocean'], ['ocean', 'water'], ['sand', 'ocean'], ['sand', 'water'], ['sand', 'ocean', 'water']]","['beaches', 'ocean', 'sand', 'sun', 'water']","['beaches', 'sand', 'sun', 'ocean', 'water']",49,6,1.0
1114,wound,24,4.24,cut,18.0,4.55,face,18.0,4.87,lion,12.0,4.96,scar,60,"[""wound"", ""cut"", ""face"", ""lion""]",2,4,18.0,"[""slipper"", ""oasis""]","[5, 3, 1, 2]","[""oasis"", ""face"", ""lion"", ""cut"", ""slipper"", ""wound""]",1,"[{'alternative_cue': 'bleed', 'alternative_cue_novel_associations': ['cut', 'wound'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'scab', 'alternative_cue_novel_associations': ['cut', 'wound'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'band-aid', 'alternative_cue_novel_associations': ['cut', 'wound'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bleeding', 'alternative_cue_novel_associations': ['cut', 'wound'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'band aid', 'alternative_cue_novel_associations': ['cut', 'wound'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bandage', 'alternative_cue_novel_associations': ['cut', 'wound'], 'num_alternative_cue_novel_associations': 2}]","[['cut', 'wound']]","['cut', 'face', 'lion', 'scar', 'wound']","['scar', 'wound', 'cut', 'face', 'lion']",4,6,0.7333333333333334
1115,poison,50,4.27,medicine,32.0,4.79,snake,16.0,5.0,venom,13.0,4.62,antidote,117,"[""poison"", ""medicine"", ""snake"", ""venom""]",2,4,27.75,"[""marsh"", ""click""]","[4, 5, 2, 3]","[""click"", ""marsh"", ""snake"", ""venom"", ""poison"", ""medicine""]",4,"[{'alternative_cue': 'cobra', 'alternative_cue_novel_associations': ['snake', 'venom', 'poison'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'vial', 'alternative_cue_novel_associations': ['medicine', 'poison'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'deadly', 'alternative_cue_novel_associations': ['snake', 'poison'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'poisonous', 'alternative_cue_novel_associations': ['snake', 'venom'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'viper', 'alternative_cue_novel_associations': ['snake', 'poison'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'venom', 'alternative_cue_novel_associations': ['snake', 'poison'], 'num_alternative_cue_novel_associations': 2}]","[['snake', 'venom'], ['medicine', 'poison'], ['snake', 'venom', 'poison'], ['snake', 'poison']]","['antidote', 'medicine', 'poison', 'snake', 'venom']","['antidote', 'poison', 'medicine', 'snake', 'venom']",25,6,1.0
1116,dark,49,4.29,moon,36.0,4.9,night,19.0,4.52,sleep,18.0,4.44,midnight,104,"[""dark"", ""moon"", ""night"", ""sleep""]",2,4,30.5,"[""wing"", ""island""]","[3, 5, 0, 2]","[""night"", ""wing"", ""sleep"", ""dark"", ""island"", ""moon""]",5,"[{'alternative_cue': 'nocturnal', 'alternative_cue_novel_associations': ['sleep', 'dark', 'night'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'nights', 'alternative_cue_novel_associations': ['sleep', 'dark', 'moon'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'nighttime', 'alternative_cue_novel_associations': ['sleep', 'dark', 'moon'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'tonight', 'alternative_cue_novel_associations': ['sleep', 'dark', 'moon'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'night', 'alternative_cue_novel_associations': ['sleep', 'dark', 'moon'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'dusk', 'alternative_cue_novel_associations': ['dark', 'night'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pyjamas', 'alternative_cue_novel_associations': ['sleep', 'night'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'evening', 'alternative_cue_novel_associations': ['dark', 'night'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'twilight', 'alternative_cue_novel_associations': ['moon', 'night'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'shadowy', 'alternative_cue_novel_associations': ['dark', 'night'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dreams', 'alternative_cue_novel_associations': ['sleep', 'night'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'nightgown', 'alternative_cue_novel_associations': ['sleep', 'night'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'insomnia', 'alternative_cue_novel_associations': ['sleep', 'night'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'stars', 'alternative_cue_novel_associations': ['moon', 'night'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'noir', 'alternative_cue_novel_associations': ['dark', 'night'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bedtime', 'alternative_cue_novel_associations': ['sleep', 'night'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'black', 'alternative_cue_novel_associations': ['dark', 'night'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'stormy', 'alternative_cue_novel_associations': ['dark', 'night'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'flashlight', 'alternative_cue_novel_associations': ['dark', 'night'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pajamas', 'alternative_cue_novel_associations': ['sleep', 'night'], 'num_alternative_cue_novel_associations': 2}]","[['sleep', 'night'], ['moon', 'night'], ['dark', 'night'], ['sleep', 'dark', 'night'], ['sleep', 'dark', 'moon']]","['dark', 'midnight', 'moon', 'night', 'sleep']","['midnight', 'dark', 'moon', 'night', 'sleep']",36,6,0.8666666666666667
1117,woman,69,4.46,male,20.0,4.45,child,17.0,4.78,boy,11.0,4.76,man,109,"[""woman"", ""male"", ""child"", ""boy""]",2,4,29.25,"[""stockings"", ""frown""]","[5, 4, 3, 1]","[""frown"", ""boy"", ""stockings"", ""child"", ""male"", ""woman""]",8,"[{'alternative_cue': 'son', 'alternative_cue_novel_associations': ['male', 'child', 'boy'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'girl', 'alternative_cue_novel_associations': ['child', 'woman', 'boy'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'boy', 'alternative_cue_novel_associations': ['male', 'child'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'womb', 'alternative_cue_novel_associations': ['woman', 'child'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'lad', 'alternative_cue_novel_associations': ['child', 'boy'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'him', 'alternative_cue_novel_associations': ['male', 'boy'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'grandson', 'alternative_cue_novel_associations': ['child', 'boy'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'female', 'alternative_cue_novel_associations': ['male', 'woman'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pantyhose', 'alternative_cue_novel_associations': ['stockings', 'woman'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'guy', 'alternative_cue_novel_associations': ['male', 'boy'], 'num_alternative_cue_novel_associations': 2}]","[['stockings', 'woman'], ['woman', 'child'], ['child', 'woman', 'boy'], ['male', 'woman'], ['child', 'boy'], ['male', 'child'], ['male', 'child', 'boy'], ['male', 'boy']]","['boy', 'child', 'male', 'man', 'woman']","['man', 'woman', 'male', 'child', 'boy']",81,6,0.7333333333333334
1118,church,41,4.9,chess,37.0,4.7,priest,17.0,4.77,pope,17.0,4.71,bishop,95,"[""church"", ""chess"", ""priest"", ""pope""]",2,4,28.0,"[""mechanic"", ""tool""]","[5, 4, 0, 1]","[""priest"", ""pope"", ""tool"", ""mechanic"", ""chess"", ""church""]",3,"[{'alternative_cue': 'catholicism', 'alternative_cue_novel_associations': ['church', 'pope', 'priest'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'catholic', 'alternative_cue_novel_associations': ['church', 'pope', 'priest'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'vicar', 'alternative_cue_novel_associations': ['church', 'priest'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'confession', 'alternative_cue_novel_associations': ['church', 'priest'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'holiness', 'alternative_cue_novel_associations': ['church', 'pope'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'clerical', 'alternative_cue_novel_associations': ['church', 'priest'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'clergy', 'alternative_cue_novel_associations': ['church', 'priest'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sermon', 'alternative_cue_novel_associations': ['church', 'priest'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'saint', 'alternative_cue_novel_associations': ['church', 'pope'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'altar', 'alternative_cue_novel_associations': ['church', 'priest'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'nun', 'alternative_cue_novel_associations': ['church', 'priest'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'parish', 'alternative_cue_novel_associations': ['church', 'priest'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cardinal', 'alternative_cue_novel_associations': ['church', 'pope'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'reverend', 'alternative_cue_novel_associations': ['church', 'priest'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cleric', 'alternative_cue_novel_associations': ['church', 'priest'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'blessing', 'alternative_cue_novel_associations': ['church', 'priest'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'friar', 'alternative_cue_novel_associations': ['church', 'priest'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pious', 'alternative_cue_novel_associations': ['church', 'pope'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'minister', 'alternative_cue_novel_associations': ['church', 'priest'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'preacher', 'alternative_cue_novel_associations': ['church', 'priest'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pastor', 'alternative_cue_novel_associations': ['church', 'priest'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bless', 'alternative_cue_novel_associations': ['church', 'priest'], 'num_alternative_cue_novel_associations': 2}]","[['church', 'priest'], ['church', 'pope', 'priest'], ['church', 'pope']]","['bishop', 'chess', 'church', 'pope', 'priest']","['bishop', 'church', 'chess', 'priest', 'pope']",16,6,1.0
1120,herb,54,4.57,rosemary,40.0,4.68,spice,19.0,4.54,sage,16.0,4.54,thyme,113,"[""herb"", ""rosemary"", ""spice"", ""sage""]",2,4,32.25,"[""cake"", ""air force""]","[4, 5, 3, 2]","[""air force"", ""cake"", ""sage"", ""spice"", ""herb"", ""rosemary""]",4,"[{'alternative_cue': 'parsley', 'alternative_cue_novel_associations': ['sage', 'rosemary', 'herb'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'sage', 'alternative_cue_novel_associations': ['spice', 'rosemary', 'herb'], 'num_alternative_cue_novel_associations': 3}, {'alternative_cue': 'rosemary', 'alternative_cue_novel_associations': ['sage', 'herb'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cilantro', 'alternative_cue_novel_associations': ['spice', 'herb'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dill', 'alternative_cue_novel_associations': ['spice', 'herb'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'oregano', 'alternative_cue_novel_associations': ['spice', 'herb'], 'num_alternative_cue_novel_associations': 2}]","[['sage', 'rosemary', 'herb'], ['spice', 'rosemary', 'herb'], ['spice', 'herb'], ['sage', 'herb']]","['herb', 'rosemary', 'sage', 'spice', 'thyme']","['thyme', 'herb', 'rosemary', 'spice', 'sage']",25,6,1.0
1121,rain,32,4.97,leaves,19.0,4.78,water,16.0,5.0,drain,14.0,4.61,gutter,67,"[""rain"", ""leaves"", ""water"", ""drain""]",2,4,20.25,"[""chicken"", ""boxing""]","[3, 1, 5, 2]","[""chicken"", ""leaves"", ""drain"", ""rain"", ""boxing"", ""water""]",3,"[{'alternative_cue': 'november', 'alternative_cue_novel_associations': ['leaves', 'rain'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'typhoon', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'drench', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'shower', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'soak', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'drops', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'pour', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'soaked', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'moisture', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sprinkles', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'muddy', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'condensation', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'puddle', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'drip', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'drop', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'wet', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'mist', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'deluge', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'dew', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sprinkle', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'colander', 'alternative_cue_novel_associations': ['drain', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'showers', 'alternative_cue_novel_associations': ['rain', 'water'], 'num_alternative_cue_novel_associations': 2}]","[['rain', 'water'], ['leaves', 'rain'], ['drain', 'water']]","['drain', 'gutter', 'leaves', 'rain', 'water']","['gutter', 'rain', 'leaves', 'water', 'drain']",16,6,0.8666666666666667
1122,clam,52,4.89,soup,50.0,4.72,corn,16.0,4.96,food,13.0,4.8,chowder,118,"[""clam"", ""soup"", ""corn"", ""food""]",2,4,32.75,"[""tea"", ""quarter""]","[4, 0, 2, 5]","[""soup"", ""quarter"", ""corn"", ""tea"", ""clam"", ""food""]",5,"[{'alternative_cue': 'stew', 'alternative_cue_novel_associations': ['soup', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'spoon', 'alternative_cue_novel_associations': ['soup', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'oyster', 'alternative_cue_novel_associations': ['clam', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tamale', 'alternative_cue_novel_associations': ['food', 'corn'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'mussel', 'alternative_cue_novel_associations': ['clam', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'noodles', 'alternative_cue_novel_associations': ['soup', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'biscuits', 'alternative_cue_novel_associations': ['food', 'tea'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tortilla', 'alternative_cue_novel_associations': ['food', 'corn'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'crop', 'alternative_cue_novel_associations': ['food', 'corn'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'cornfield', 'alternative_cue_novel_associations': ['food', 'corn'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'barley', 'alternative_cue_novel_associations': ['soup', 'corn'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'crops', 'alternative_cue_novel_associations': ['food', 'corn'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'noodle', 'alternative_cue_novel_associations': ['soup', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'starch', 'alternative_cue_novel_associations': ['food', 'corn'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'chicken', 'alternative_cue_novel_associations': ['soup', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'bowls', 'alternative_cue_novel_associations': ['soup', 'food'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'biscuit', 'alternative_cue_novel_associations': ['food', 'tea'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'tray', 'alternative_cue_novel_associations': ['food', 'tea'], 'num_alternative_cue_novel_associations': 2}]","[['food', 'tea'], ['soup', 'food'], ['clam', 'food'], ['food', 'corn'], ['soup', 'corn']]","['chowder', 'clam', 'corn', 'food', 'soup']","['chowder', 'clam', 'soup', 'corn', 'food']",36,6,1.0
1126,camel,53,4.93,road,14.0,4.75,hill,14.0,4.93,back,11.0,4.33,hump,99,"[""camel"", ""road"", ""hill"", ""back""]",2,4,23.0,"[""tab"", ""gang""]","[5, 2, 0, 1]","[""hill"", ""back"", ""road"", ""tab"", ""gang"", ""camel""]",0,[],[],"['back', 'camel', 'hill', 'hump', 'road']","['hump', 'camel', 'road', 'hill', 'back']",1,6,0.8666666666666667
1127,water,55,5.0,hot,14.0,4.31,volcano,12.0,4.75,fountain,11.0,4.77,geyser,83,"[""water"", ""hot"", ""volcano"", ""fountain""]",2,4,23.0,"[""shirt"", ""clam""]","[1, 5, 2, 0]","[""fountain"", ""water"", ""volcano"", ""shirt"", ""clam"", ""hot""]",3,"[{'alternative_cue': 'tub', 'alternative_cue_novel_associations': ['hot', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'lava', 'alternative_cue_novel_associations': ['hot', 'volcano'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'fire', 'alternative_cue_novel_associations': ['hot', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'boil', 'alternative_cue_novel_associations': ['hot', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'boiling', 'alternative_cue_novel_associations': ['hot', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'polo', 'alternative_cue_novel_associations': ['shirt', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'steam', 'alternative_cue_novel_associations': ['hot', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'boiler', 'alternative_cue_novel_associations': ['hot', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'boiled', 'alternative_cue_novel_associations': ['hot', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'sweat', 'alternative_cue_novel_associations': ['hot', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'magma', 'alternative_cue_novel_associations': ['hot', 'volcano'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'molten', 'alternative_cue_novel_associations': ['hot', 'volcano'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'melt', 'alternative_cue_novel_associations': ['hot', 'water'], 'num_alternative_cue_novel_associations': 2}, {'alternative_cue': 'kettle', 'alternative_cue_novel_associations': ['hot', 'water'], 'num_alternative_cue_novel_associations': 2}]","[['hot', 'water'], ['hot', 'volcano'], ['shirt', 'water']]","['fountain', 'geyser', 'hot', 'volcano', 'water']","['geyser', 'water', 'hot', 'volcano', 'fountain']",16,6,1.0
