"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-vasr_annotator","UPDATE-vasr_annotator","CURRENT-passed_gvlab_solve_qualification","UPDATE-passed_gvlab_solve_qualification","CURRENT-passed_gvlab_create_qualification","UPDATE-passed_gvlab_create_qualification","CURRENT-inadequate","UPDATE-inadequate","CURRENT-gvlab_annotator","UPDATE-gvlab_annotator","CURRENT-analogies_qualification","UPDATE-analogies_qualification","CURRENT-Question aswering qualification","UPDATE-Question aswering qualification","CURRENT-QA - real world data","UPDATE-QA - real world data","CURRENT-Low Analogy Performance","UPDATE-Low Analogy Performance","CURRENT-Experiment RA01 Qualification Test Score","UPDATE-Experiment RA01 Qualification Test Score","CURRENT-Experiment CE01 Qualification Test Score","UPDATE-Experiment CE01 Qualification Test Score","CURRENT-Annotated VASR 1st batch","UPDATE-Annotated VASR 1st batch","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A1VM6NUT8X5OPY","https://requester.mturk.com/workers/A1VM6NUT8X5OPY","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1VMPZVVVZUCS4","https://requester.mturk.com/workers/A1VMPZVVVZUCS4","8","8","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","1","","5","","9","","1","","Never Blocked","",""
"A1VR3WIYC6GKT5","https://requester.mturk.com/workers/A1VR3WIYC6GKT5","5","5","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1W00B87DQZYU9","https://requester.mturk.com/workers/A1W00B87DQZYU9","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1WAWEY2810TFN","https://requester.mturk.com/workers/A1WAWEY2810TFN","4","4","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","1","","","","","","","","","","Never Blocked","",""
"A1WBGYZ6Y8NJ9","https://requester.mturk.com/workers/A1WBGYZ6Y8NJ9","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1WD2MP432VZO6","https://requester.mturk.com/workers/A1WD2MP432VZO6","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1WHEV7QAX73IC","https://requester.mturk.com/workers/A1WHEV7QAX73IC","438","438","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","1","","","","","","1","","Never Blocked","",""
"A1WMOJNU4FFQY8","https://requester.mturk.com/workers/A1WMOJNU4FFQY8","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1WN5DJJUJ84M0","https://requester.mturk.com/workers/A1WN5DJJUJ84M0","5","5","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1WY3YGT618GC0","https://requester.mturk.com/workers/A1WY3YGT618GC0","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","75","","","","","","","","60","","","","","","","","","","","","","","Never Blocked","",""
"A1X1HUVI6BTIMV","https://requester.mturk.com/workers/A1X1HUVI6BTIMV","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1X7FVM9URL2CR","https://requester.mturk.com/workers/A1X7FVM9URL2CR","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1XA1ZRQO81TPY","https://requester.mturk.com/workers/A1XA1ZRQO81TPY","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1XCZSIB9QLS14","https://requester.mturk.com/workers/A1XCZSIB9QLS14","57","57","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","1","","","","","","1","","Never Blocked","",""
"A1XKHXJ8CMIX7N","https://requester.mturk.com/workers/A1XKHXJ8CMIX7N","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1XMGLCK09Z0DW","https://requester.mturk.com/workers/A1XMGLCK09Z0DW","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1XT5QARAJBDZ7","https://requester.mturk.com/workers/A1XT5QARAJBDZ7","2","1","50.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1Y077F013CX1E","https://requester.mturk.com/workers/A1Y077F013CX1E","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1Y9D4RKC3BZQ3","https://requester.mturk.com/workers/A1Y9D4RKC3BZQ3","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","80","","","","","","","","","","","","","","Never Blocked","",""
"A1YPIJR0B4YDEW","https://requester.mturk.com/workers/A1YPIJR0B4YDEW","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","90","","","","","","","","","","","","","","Never Blocked","",""
"A1YSYI926BBOHW","https://requester.mturk.com/workers/A1YSYI926BBOHW","48","48","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","1","","","","","","","","6","","1","","Never Blocked","",""
"A1YW8JQFWDRSLL","https://requester.mturk.com/workers/A1YW8JQFWDRSLL","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1Z55XE20OYBJT","https://requester.mturk.com/workers/A1Z55XE20OYBJT","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1ZGNDZ499B6OQ","https://requester.mturk.com/workers/A1ZGNDZ499B6OQ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1ZQ4Q7DXAE35B","https://requester.mturk.com/workers/A1ZQ4Q7DXAE35B","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1ZV63SQBPPEZY","https://requester.mturk.com/workers/A1ZV63SQBPPEZY","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1ZY281SD4TE6B","https://requester.mturk.com/workers/A1ZY281SD4TE6B","5","5","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A1ZYFW4LS0N06Y","https://requester.mturk.com/workers/A1ZYFW4LS0N06Y","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2027D8EZOU608","https://requester.mturk.com/workers/A2027D8EZOU608","10","10","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A202T39MTLD31K","https://requester.mturk.com/workers/A202T39MTLD31K","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A20BR8JVTG691","https://requester.mturk.com/workers/A20BR8JVTG691","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A20C6QZRCAMBK6","https://requester.mturk.com/workers/A20C6QZRCAMBK6","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A20GYHACI7W7LY","https://requester.mturk.com/workers/A20GYHACI7W7LY","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A20IA63WXHF683","https://requester.mturk.com/workers/A20IA63WXHF683","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A20IR7GKHEVFU9","https://requester.mturk.com/workers/A20IR7GKHEVFU9","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A20K80GWXI69Z7","https://requester.mturk.com/workers/A20K80GWXI69Z7","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A20QBAN0TDSQD4","https://requester.mturk.com/workers/A20QBAN0TDSQD4","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A20SXG1DHDIDI7","https://requester.mturk.com/workers/A20SXG1DHDIDI7","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A20X6V1AAXZGNZ","https://requester.mturk.com/workers/A20X6V1AAXZGNZ","5","5","100.00%","2","2","100.00%","0","0","0.00%","","","","","","","","","","","","","","","1","","","","","","","","","","Never Blocked","",""
"A219VCQZADQ45W","https://requester.mturk.com/workers/A219VCQZADQ45W","56","56","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A21C0T6WYKJIEO","https://requester.mturk.com/workers/A21C0T6WYKJIEO","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A21K7FBCJ54ILS","https://requester.mturk.com/workers/A21K7FBCJ54ILS","5","5","100.00%","1","1","100.00%","0","0","0.00%","","","78","","","","","","","","90","","","","1","","","","","","","","","","Never Blocked","",""
"A21KF567E8ZCLO","https://requester.mturk.com/workers/A21KF567E8ZCLO","3","3","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","100","","90","","","","","","","","","","","","1","","Never Blocked","",""
"A21LYHAOO5P2CC","https://requester.mturk.com/workers/A21LYHAOO5P2CC","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A21M5843NTBWU6","https://requester.mturk.com/workers/A21M5843NTBWU6","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A21N0G15EZL8AE","https://requester.mturk.com/workers/A21N0G15EZL8AE","0","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","50","","","","","","","","4","","","","","","Never Blocked","",""
"A21VLIOPLOK8EQ","https://requester.mturk.com/workers/A21VLIOPLOK8EQ","20","20","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A21XECECA39A7I","https://requester.mturk.com/workers/A21XECECA39A7I","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A21ZMR7O42OSMI","https://requester.mturk.com/workers/A21ZMR7O42OSMI","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A223TBAU733C1E","https://requester.mturk.com/workers/A223TBAU733C1E","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A228GVGMLLZ9R6","https://requester.mturk.com/workers/A228GVGMLLZ9R6","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A22A52DRIIEV6K","https://requester.mturk.com/workers/A22A52DRIIEV6K","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A22D5SCSQ6K2RP","https://requester.mturk.com/workers/A22D5SCSQ6K2RP","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A22HIX1M4QXZBB","https://requester.mturk.com/workers/A22HIX1M4QXZBB","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","70","","","","","","","","6","","9","","","","Never Blocked","",""
"A22KYUSPCMWIKR","https://requester.mturk.com/workers/A22KYUSPCMWIKR","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A22ON3MIIG0IJA","https://requester.mturk.com/workers/A22ON3MIIG0IJA","10","10","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","100","","100","","","","","","","","","","","","1","","Never Blocked","",""
"A22T7U3KAJU8PC","https://requester.mturk.com/workers/A22T7U3KAJU8PC","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A22UUVL27L2WU1","https://requester.mturk.com/workers/A22UUVL27L2WU1","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A22VZZFOP9D3GC","https://requester.mturk.com/workers/A22VZZFOP9D3GC","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A22XDYWD08K65D","https://requester.mturk.com/workers/A22XDYWD08K65D","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A23A1WMFNPETYQ","https://requester.mturk.com/workers/A23A1WMFNPETYQ","50","50","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A23C7BGEJEJOV8","https://requester.mturk.com/workers/A23C7BGEJEJOV8","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A23DLX3K161MH3","https://requester.mturk.com/workers/A23DLX3K161MH3","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A23K0YTNUJ0GKR","https://requester.mturk.com/workers/A23K0YTNUJ0GKR","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A23LRZHPTLVNM3","https://requester.mturk.com/workers/A23LRZHPTLVNM3","40","40","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A23M0FLTUOFV5Y","https://requester.mturk.com/workers/A23M0FLTUOFV5Y","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A23NJOKU9E2EPA","https://requester.mturk.com/workers/A23NJOKU9E2EPA","41","41","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A241PV6A122I5X","https://requester.mturk.com/workers/A241PV6A122I5X","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A24304LNRPBS1W","https://requester.mturk.com/workers/A24304LNRPBS1W","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A247U4MD6V0SW7","https://requester.mturk.com/workers/A247U4MD6V0SW7","9","9","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A248LF7KKHXZ14","https://requester.mturk.com/workers/A248LF7KKHXZ14","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A248QG4DPULP46","https://requester.mturk.com/workers/A248QG4DPULP46","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A24FN5BK5L9I2S","https://requester.mturk.com/workers/A24FN5BK5L9I2S","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A24LK8QPNPF8CR","https://requester.mturk.com/workers/A24LK8QPNPF8CR","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A24NKUCAX1LURL","https://requester.mturk.com/workers/A24NKUCAX1LURL","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A24RCKH0Q3GMQY","https://requester.mturk.com/workers/A24RCKH0Q3GMQY","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A24RGLS3BRZ60J","https://requester.mturk.com/workers/A24RGLS3BRZ60J","17","17","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","100","","90","","","","","","","","","","","","1","","Never Blocked","",""
"A24RQ4RYIXXRZU","https://requester.mturk.com/workers/A24RQ4RYIXXRZU","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A24U11S1LWFCGD","https://requester.mturk.com/workers/A24U11S1LWFCGD","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A24VPNS74FT3EH","https://requester.mturk.com/workers/A24VPNS74FT3EH","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A24YGGWJO4KUFT","https://requester.mturk.com/workers/A24YGGWJO4KUFT","11","11","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A25336CH85F48V","https://requester.mturk.com/workers/A25336CH85F48V","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","90","","","","","","","","","","","","","","Never Blocked","",""
"A253ONP5G8TRLY","https://requester.mturk.com/workers/A253ONP5G8TRLY","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A25G8QT68RT5LI","https://requester.mturk.com/workers/A25G8QT68RT5LI","10","10","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A25VMZB6JJGGBZ","https://requester.mturk.com/workers/A25VMZB6JJGGBZ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A25XQ0GFZ57PPU","https://requester.mturk.com/workers/A25XQ0GFZ57PPU","7","7","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","90","","","","","","1","","","","","","1","","Never Blocked","",""
"A26EH819WBM07V","https://requester.mturk.com/workers/A26EH819WBM07V","6","6","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A26FM08JXUPEZO","https://requester.mturk.com/workers/A26FM08JXUPEZO","13","13","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A26GF73MO3C4V","https://requester.mturk.com/workers/A26GF73MO3C4V","9","9","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A26GRUZPUVWW1H","https://requester.mturk.com/workers/A26GRUZPUVWW1H","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A26RO8GGTQAXGG","https://requester.mturk.com/workers/A26RO8GGTQAXGG","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A26SF9CTNKKBYB","https://requester.mturk.com/workers/A26SF9CTNKKBYB","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","","","","","","","","","","","Never Blocked","",""
"A26VB424KM3RSX","https://requester.mturk.com/workers/A26VB424KM3RSX","4","4","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A26ZOTITCH45QB","https://requester.mturk.com/workers/A26ZOTITCH45QB","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2711JRPGK0K7R","https://requester.mturk.com/workers/A2711JRPGK0K7R","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A273PAYHIAJHO7","https://requester.mturk.com/workers/A273PAYHIAJHO7","577","577","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","","","","","","","1","","Never Blocked","",""
"A27F76XB3KS0W2","https://requester.mturk.com/workers/A27F76XB3KS0W2","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A27GE3VR35R79Q","https://requester.mturk.com/workers/A27GE3VR35R79Q","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A27NBGO9FXJS8Q","https://requester.mturk.com/workers/A27NBGO9FXJS8Q","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A27SMEOPKV84VI","https://requester.mturk.com/workers/A27SMEOPKV84VI","67","67","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A27W025UEXS1G0","https://requester.mturk.com/workers/A27W025UEXS1G0","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","1","","","","","","","","","","","","Never Blocked","",""
"A27WORQ1PKT4G6","https://requester.mturk.com/workers/A27WORQ1PKT4G6","4","4","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2825I2XO6KZEP","https://requester.mturk.com/workers/A2825I2XO6KZEP","1460","1460","100.00%","0","0","0.00%","0","0","0.00%","1","","","","","","","","","","100","","","","","","1","","","","","","1","","Never Blocked","",""
"A2829HLY53BWC2","https://requester.mturk.com/workers/A2829HLY53BWC2","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A284YHQWREBH07","https://requester.mturk.com/workers/A284YHQWREBH07","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2880Y23V0UITQ","https://requester.mturk.com/workers/A2880Y23V0UITQ","8","8","100.00%","1","1","100.00%","0","0","0.00%","","","","","","","","","","","","","","","1","","","","","","","","","","Never Blocked","",""
"A28BWXVCFZI7EU","https://requester.mturk.com/workers/A28BWXVCFZI7EU","269","269","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","100","","","","","","1","","","","","","1","","Never Blocked","",""
"A28LMUIZO84GAX","https://requester.mturk.com/workers/A28LMUIZO84GAX","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A293Q0DY6QHFGG","https://requester.mturk.com/workers/A293Q0DY6QHFGG","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2961WFHK6LY80","https://requester.mturk.com/workers/A2961WFHK6LY80","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A29M7C2GYXB3OM","https://requester.mturk.com/workers/A29M7C2GYXB3OM","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2A6FH0F7LD9ND","https://requester.mturk.com/workers/A2A6FH0F7LD9ND","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2AC3JVSJELTUP","https://requester.mturk.com/workers/A2AC3JVSJELTUP","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2AGQGMZVSZVUJ","https://requester.mturk.com/workers/A2AGQGMZVSZVUJ","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2AHXGFXPG6ZSR","https://requester.mturk.com/workers/A2AHXGFXPG6ZSR","1","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2AJIRNA6L4IJI","https://requester.mturk.com/workers/A2AJIRNA6L4IJI","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2ANP4POGYTNWD","https://requester.mturk.com/workers/A2ANP4POGYTNWD","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2APG8MSLJ6G2K","https://requester.mturk.com/workers/A2APG8MSLJ6G2K","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2ATXOR5WL2S0Q","https://requester.mturk.com/workers/A2ATXOR5WL2S0Q","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2AVWXK2DZHYCM","https://requester.mturk.com/workers/A2AVWXK2DZHYCM","3","3","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2B1V17KZCKN1Y","https://requester.mturk.com/workers/A2B1V17KZCKN1Y","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2B6IFOZY2D4A4","https://requester.mturk.com/workers/A2B6IFOZY2D4A4","1","0","0.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2B6WQG0A9CKXQ","https://requester.mturk.com/workers/A2B6WQG0A9CKXQ","71","71","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","6","","9","","","","Never Blocked","",""
"A2B7SPYBPF7H8I","https://requester.mturk.com/workers/A2B7SPYBPF7H8I","2","2","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","1","","","","","","","","","","Never Blocked","",""
"A2BCBS4PZN50JN","https://requester.mturk.com/workers/A2BCBS4PZN50JN","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2BDS27UB9LBA7","https://requester.mturk.com/workers/A2BDS27UB9LBA7","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
"A2BH7SMGLKJLI9","https://requester.mturk.com/workers/A2BH7SMGLKJLI9","1","1","100.00%","0","0","0.00%","0","0","0.00%","","","","","","","","","","","","","","","","","","","","","","","","","Never Blocked","",""
